Year,word,word_type,relative_usage
1984,moron,group 1,9.39594145
1984,nimrod,group 1,24.45229243
1984,nerd,group 2,49.80891702
1984,geek,group 2,29.76306664
1984,dork,group 2,20.42801634
1985,idiot,group 1,68.50021829
1985,moron,group 1,9.901828416
1985,nimrod,group 1,21.5979533
1985,nerd,group 2,49.89490334
1985,geek,group 2,30.60550867
1985,dork,group 2,19.499588
1986,idiot,group 1,69.62852439
1986,moron,group 1,10.1225553
1986,nimrod,group 1,20.24892031
1986,nerd,group 2,49.65997183
1986,geek,group 2,31.70565081
1986,dork,group 2,18.63437737
1987,idiot,group 1,69.87486131
1987,moron,group 1,10.22861765
1987,nimrod,group 1,19.89652105
1987,nerd,group 2,50.04299837
1987,geek,group 2,31.68208191
1987,dork,group 2,18.27491972
1988,idiot,group 1,69.97285399
1988,moron,group 1,10.35140989
1988,nimrod,group 1,19.67573612
1988,nerd,group 2,48.79685926
1988,geek,group 2,33.76393961
1988,dork,group 2,17.43920113
1989,idiot,group 1,70.84412787
1989,moron,group 1,10.33385504
1989,nimrod,group 1,18.82201709
1989,nerd,group 2,47.56205944
1989,geek,group 2,35.37534476
1989,dork,group 2,17.0625958
1990,idiot,group 1,71.63530965
1990,moron,group 1,10.45333566
1990,nimrod,group 1,17.91135468
1990,nerd,group 2,48.02986616
1990,geek,group 2,34.90862801
1990,dork,group 2,17.06150583
1991,idiot,group 1,72.39967218
1991,moron,group 1,10.62018869
1991,nimrod,group 1,16.98013913
1991,nerd,group 2,47.41611391
1991,geek,group 2,35.45831545
1991,dork,group 2,17.12557064
1992,idiot,group 1,72.79120009
1992,moron,group 1,10.53466553
1992,nimrod,group 1,16.67413438
1992,nerd,group 2,47.65710362
1992,geek,group 2,35.87791553
1992,dork,group 2,16.46498086
1993,idiot,group 1,73.16494117
1993,moron,group 1,10.56564481
1993,nimrod,group 1,16.26941403
1993,nerd,group 2,47.31569946
1993,geek,group 2,36.46773558
1993,dork,group 2,16.21656495
1994,idiot,group 1,73.80644006
1994,moron,group 1,10.67913538
